,smoothing,normalization,wsize,memory,thres,F1,FPR,RFPR,Prec,Rec,tot_pred,tot_labels,tot_correctly_pred
0,0,0,301,800,0.05,0.3867666809314472,0.40559440558983084,2.4655166333123244,0.23974630020634788,0.9999999999118165,4730.0,1134,1134.0
1,1,0,11,200,1.31,0.2844394436319159,0.21903902548816784,2.053219709919288,0.20799347470603616,0.4497354496957905,2452.0,1134,510.0
2,1,0,175,2000,0.09,0.38001780340801766,0.2817505075537813,2.6666233580812513,0.25432835820136335,0.7513227512564971,3350.0,1134,852.0
3,0,1,125,2000,0.1,0.28959273537124075,0.0,1693121.692972388,0.9999999994791667,0.16931216929723877,192.0,1134,192.0
4,0,1,175,1800,0.07,0.3323529134152272,0.0,1992945.326102915,0.9999999995575222,0.19929453261029148,226.0,1134,226.0
5,0,1,251,600,0.05,0.5818181359176172,0.012858109632158152,35.11368464523854,0.8178913736712634,0.45149911812597004,626.0,1134,512.0
6,1,1,75,800,0.21,0.17977526450845097,0.0,987654.3209005595,0.9999999991071429,0.09876543209005595,112.0,1134,112.0
7,1,0,175,1400,0.09,0.35819597330746605,0.2991202346007318,2.435123852868212,0.23749281195406866,0.7283950616641627,3478.0,1134,826.0
8,0,0,175,800,0.09,0.47404058850905373,0.17708098353059912,4.183059680383205,0.3485477178278611,0.7407407406754196,2410.0,1134,840.0
9,0,1,11,1200,1.48,0.026109657992987662,0.0,132275.1322634678,0.9999999933333334,0.01322751322634678,15.0,1134,15.0
10,0,1,101,1800,0.14,0.16356273799131413,0.0,890652.5572406832,0.999999999009901,0.08906525572406832,101.0,1134,101.0
11,0,0,11,1800,1.51,0.25337181938208436,0.07658470561609987,3.0283082486515855,0.27919320591515995,0.23192239856861352,942.0,1134,263.0
12,0,0,25,200,0.58,0.2689317152895814,0.21114369501228125,1.9504081492092924,0.19965797348440967,0.4118165784469297,2339.0,1134,467.0
13,0,1,75,1600,0.19,0.14857141479370387,0.0,802469.1357317046,0.9999999989010989,0.08024691357317046,91.0,1134,91.0
14,0,1,175,600,0.08,0.5560480911786735,0.0006767426122188501,571.9575177977163,0.986516853710895,0.3871252204244157,445.0,1134,439.0
15,1,1,151,1400,0.09,0.21932827240249322,0.018610421836018378,7.58138195465839,0.492307692156213,0.14109347441436565,325.0,1134,160.0
16,1,0,25,1000,0.64,0.45833328371381926,0.0891044439421486,5.660869229731386,0.41997063139354107,0.5044091710313572,1362.0,1134,572.0
17,0,0,75,1200,0.21,0.6255577595992288,0.06316264380709267,10.764164741017435,0.5792637114515955,0.6798941798342244,1331.0,1134,771.0
18,0,0,75,1800,0.22,0.4486179533126177,0.11899390931514782,4.6910013484248205,0.3749999999777843,0.5582010581518341,1688.0,1134,633.0
19,1,1,75,800,0.21,0.17684885844852866,0.0,970017.6365987639,0.9999999990909092,0.09700176365987638,110.0,1134,110.0
20,1,1,301,1800,0.04,0.7172361508209005,0.06474170990226999,13.007848817974075,0.6245912360611778,0.842151675410745,1529.0,1134,955.0
21,1,0,301,1600,0.05,0.28166911004129486,0.26223776223480444,1.9066659394447574,0.19605809127952775,0.49999999995590827,2892.0,1134,567.0
22,0,0,201,1000,0.08,0.34296719836972817,0.16309496954474287,2.887269812462115,0.2696969696833486,0.4708994708579453,1980.0,1134,534.0
23,0,0,225,800,0.07,0.48358643706748394,0.22118204376019418,3.9350842500074243,0.3348032564336905,0.8703703702936181,2948.0,1134,987.0
24,1,0,275,1400,0.05,0.24278434920495848,0.45578614932939554,1.3833490253751104,0.15033641715411405,0.6305114637891964,4756.0,1134,715.0
25,1,1,301,1800,0.05,0.2728531518391168,0.012745319196788344,13.63010017092752,0.635483870762747,0.1737213403726877,310.0,1134,197.0
26,1,1,11,1200,1.48,0.051546386721933374,0.0,264550.2645269356,0.9999999966666666,0.02645502645269356,30.0,1134,30.0
27,1,0,51,1400,0.32,0.43823840501130606,0.11809158583218934,4.570029937601605,0.3688969258367151,0.5396825396349486,1659.0,1134,612.0
28,0,1,251,800,0.06,0.4970178552278141,0.0,3306878.306586695,0.9999999997333333,0.33068783065866947,375.0,1134,375.0
29,1,1,151,600,0.1,0.6385134672788108,0.008459282652735626,59.10596795077197,0.8831775699558914,0.49999999995590827,642.0,1134,567.0
30,0,1,251,1800,0.04,0.5088757016382117,0.0,3412698.4123974694,0.999999999741602,0.3412698412397469,387.0,1134,387.0
31,0,1,251,1600,0.04,0.5069124044863402,0.0,3395061.7280956735,0.9999999997402597,0.33950617280956735,385.0,1134,385.0
32,0,1,151,2000,0.08,0.3553299199670203,0.0,2160493.826969974,0.9999999995918367,0.2160493826969974,245.0,1134,245.0
33,0,0,51,1200,0.31,0.6183793071548774,0.044213850664964874,13.62223370334513,0.6353488371502001,0.6022927689063233,1075.0,1134,683.0
34,1,1,251,200,0.05,0.2909401396762632,0.4359350327043093,1.7214508782214264,0.1804495334991423,0.7504409170414073,4716.0,1134,851.0
35,1,1,25,1800,0.65,0.05988023370197213,0.0,308641.9752814249,0.9999999971428571,0.030864197528142484,35.0,1134,35.0
36,0,0,301,1200,0.05,0.48477636400589763,0.23133318294347693,3.8843916177684163,0.33192182409342275,0.8985890651764912,3070.0,1134,1019.0
37,1,1,275,1800,0.05,0.4531170316597998,0.044213850664964874,8.915283258265408,0.5327771155503246,0.39417989414513405,839.0,1134,447.0
38,1,1,251,2000,0.05,0.6641762678900208,0.07376494473185466,10.627670871272151,0.5761503564111373,0.7839506172148191,1543.0,1134,889.0
39,0,1,301,800,0.05,0.6246209393832997,0.0,4541446.207712394,0.9999999998058253,0.4541446207712394,515.0,1134,515.0
40,0,0,225,1400,0.07,0.3769889387467863,0.17121588089136908,3.1726587300279907,0.2886597938009063,0.5432098764953077,2134.0,1134,616.0
41,1,1,11,1000,1.45,0.02953952792728897,0.0,149911.8165652635,0.9999999941176471,0.01499118165652635,17.0,1134,17.0
42,0,1,225,600,0.06,0.5567722889485041,0.013309271373637386,32.0019566613057,0.8036605655900732,0.4259259258883663,601.0,1134,483.0
43,1,0,275,1600,0.06,0.33119154446496335,0.1943379201421798,2.5728367490319335,0.24759825326429705,0.49999999995590827,2290.0,1134,567.0
44,0,1,125,1200,0.12,0.3187546062190339,0.0,1895943.5624430384,0.9999999995348837,0.18959435624430385,215.0,1134,215.0
45,1,0,151,1000,0.1,0.29625123105501827,0.34626663658531165,1.861630769352904,0.19231781109728183,0.6446208112306331,3801.0,1134,731.0
46,1,1,11,1200,1.48,0.04819276637289304,0.0,246913.58022513989,0.9999999964285714,0.024691358022513987,28.0,1134,28.0
47,0,0,151,200,0.09,0.22518737806812394,0.5397022332445329,1.2270791781668424,0.1356575144484166,0.6622574955324287,5536.0,1134,751.0
48,1,0,201,1400,0.08,0.3931902595850442,0.2606586961396271,2.8519514949439086,0.26727964488689665,0.743386243320689,3154.0,1134,843.0
49,0,0,251,800,0.06,0.39318476339178177,0.356079404462485,2.600334796696579,0.24958402661636359,0.9259259258442746,4207.0,1134,1050.0
50,1,1,151,1400,0.08,0.49740927873586327,0.11741484321997049,5.407494288654181,0.4088586030432221,0.6349206348646455,1761.0,1134,720.0
51,0,0,51,600,0.3,0.4549870953453039,0.17696819309522932,3.9664734452388286,0.33657505283989114,0.7019400352114691,2365.0,1134,796.0
52,1,0,11,1200,1.48,0.5275948877558897,0.03609293931833867,12.729203046869522,0.6195005944566587,0.4594356260617781,841.0,1134,521.0
53,1,0,51,400,0.29,0.2794241802683447,0.3304759756335385,1.7611277332058488,0.1838440111369403,0.5820105819592583,3590.0,1134,660.0
54,0,0,301,600,0.05,0.3137456730804462,0.42555831265028693,1.891901591988023,0.19483568074701588,0.805114638376974,4686.0,1134,913.0
55,0,0,11,400,1.3800000000000001,0.35124952453912806,0.14369501466113585,3.1481999468657786,0.28707330720273794,0.45238095234105985,1787.0,1134,513.0
56,1,1,125,1600,0.11,0.43619485051948936,0.02413715316913899,13.73684331644216,0.6372881354852055,0.3315696648737593,590.0,1134,376.0
57,0,1,75,1400,0.18,0.17244156358633225,0.0,943562.6101460702,0.9999999990654206,0.09435626101460702,107.0,1134,107.0
58,0,0,301,2000,0.05,0.27302992355941363,0.22309948116148093,1.944703040523155,0.19919028339274533,0.43386243382417433,2470.0,1134,492.0
59,0,1,301,600,0.04,0.7831714710810109,0.02052785923730512,36.38518430140365,0.8231292516206871,0.7469135801810481,1029.0,1134,847.0
60,0,1,251,1800,0.04,0.5186152456468374,0.0,3500881.8339064475,0.9999999997481108,0.35008818339064474,397.0,1134,397.0
61,0,1,11,1200,1.48,0.020942406300997054,0.0,105820.10581077424,0.9999999916666668,0.010582010581077423,12.0,1134,12.0
62,0,1,151,1800,0.08,0.3074626605016729,0.0,1816578.4830849578,0.9999999995145631,0.18165784830849577,206.0,1134,206.0
63,0,1,101,600,0.15,0.26073617360457874,0.0,1499118.165652635,0.9999999994117648,0.1499118165652635,170.0,1134,170.0
64,0,0,75,1800,0.22,0.45783127719573513,0.1175276336553403,4.847067881174245,0.382701421778276,0.5696649029480013,1688.0,1134,646.0
65,1,1,101,1200,0.16,0.16653191680030252,0.0,908289.2415424789,0.9999999990291263,0.09082892415424788,103.0,1134,103.0
66,1,1,125,800,0.12,0.49935479937415495,0.003270922625724442,104.33123835826876,0.9302884613148344,0.3412698412397469,416.0,1134,387.0
67,0,1,301,2000,0.04,0.4412370789522115,0.0,2830687.8304382106,0.9999999996884734,0.28306878304382105,321.0,1134,321.0
68,1,0,101,2000,0.16,0.42907618324802815,0.22309948116148093,3.3597511878956943,0.3005657708521724,0.7495590828263174,2828.0,1134,850.0
69,1,1,51,1600,0.31,0.10526314790485077,0.0,555555.5555065648,0.9999999984126984,0.05555555555065647,63.0,1134,63.0
70,0,0,251,200,0.05,0.23031404215067564,0.7491540717262671,1.191231737540056,0.13221844786866713,0.8924162256708627,7654.0,1134,1012.0
71,1,1,301,1000,0.04,0.5355246114089223,0.19873674712160233,4.69898988187467,0.37539879474032617,0.9338624337800826,2821.0,1134,1059.0
72,1,0,251,1800,0.06,0.3279411363165418,0.2568238213370536,2.297087774471073,0.22708757636703708,0.5899470898950664,2946.0,1134,669.0
73,0,1,11,1800,1.47,0.01921397189283211,0.0,97001.76365987638,0.9999999909090911,0.009700176365987637,11.0,1134,11.0
74,0,1,251,1800,0.04,0.55660970004109,0.0007895330475886585,491.3764131635345,0.984340044522519,0.3880070546395055,447.0,1134,440.0
75,0,0,251,2000,0.06,0.4689839149395502,0.19501466275439863,3.965692626089653,0.3365310821052751,0.7733686066337417,2606.0,1134,877.0
76,1,0,251,1600,0.06,0.2670748548561459,0.2870516580161623,1.741846151409935,0.1821979434388754,0.49999999995590827,3112.0,1134,567.0
77,0,0,25,800,0.63,0.41459069729803927,0.07308820211963582,5.622442064110266,0.41831238775419094,0.41093474423183995,1114.0,1134,466.0
78,0,0,11,400,1.3800000000000001,0.34835644198043425,0.14696593728686028,3.084132871266267,0.2828838745028682,0.45326278655614965,1817.0,1134,514.0
79,1,1,75,1800,0.2,0.23639189202634606,0.0,1340388.0069364738,0.9999999993421053,0.13403880069364738,152.0,1134,152.0
80,0,1,125,1800,0.1,0.3099850706301758,0.0,1834215.1673867535,0.9999999995192308,0.18342151673867535,208.0,1134,208.0
81,1,1,201,400,0.07,0.4014931065092466,0.08944281524825802,4.771845359901421,0.37901331242137715,0.42680776010345606,1277.0,1134,484.0
82,1,1,175,1200,0.09,0.4304497931494141,0.0,2742504.4089292325,0.9999999996784565,0.2742504408929232,311.0,1134,311.0
83,0,0,25,200,0.58,0.2676217326189841,0.21306113241356797,1.9328555166130015,0.19821731747885327,0.4118165784469297,2356.0,1134,467.0
84,1,1,301,1200,0.05,0.39944325128600267,0.0018046469659169337,140.23374163268554,0.9471947191593416,0.2530864197307684,303.0,1134,287.0
85,1,1,301,1400,0.04,0.4649033160012206,0.21249718023671893,3.7929731227345367,0.32666190134643813,0.8059964725920638,2798.0,1134,914.0
86,1,1,25,1600,0.65,0.04314063425299734,0.0,220458.55377244632,0.999999996,0.02204585537724463,25.0,1134,25.0
87,0,0,251,1000,0.06,0.2946985031129711,0.24216106473897853,2.064740646977189,0.2089167280689419,0.49999999995590827,2714.0,1134,567.0
88,0,0,225,600,0.06,0.3011674022678385,0.5204150687962957,1.7266773127595418,0.18089827800140426,0.8985890651764912,5633.0,1134,1019.0
89,1,0,275,600,0.05,0.26906368293653005,0.6811414391982726,1.4435254543166234,0.15585686329108392,0.9832451498251106,7154.0,1134,1115.0
90,0,1,151,1400,0.08,0.2700228598973326,0.0,1560846.56070892,0.9999999994350283,0.156084656070892,177.0,1134,177.0
91,1,0,275,1000,0.05,0.1642779800897101,0.5438754793532159,0.8642006636918813,0.09953314659011143,0.47001763664285556,5355.0,1134,533.0
92,1,1,125,2000,0.12,0.22535209264475917,0.0,1269841.2697292909,0.9999999993055556,0.12698412697292907,144.0,1134,144.0
93,0,1,251,1200,0.06,0.3624548439170611,0.0,2213403.879875361,0.9999999996015937,0.2213403879875361,251.0,1134,251.0
94,0,1,11,1000,1.43,0.022667826874398295,0.0,114638.4479616721,0.9999999923076924,0.01146384479616721,13.0,1134,13.0
95,0,0,11,600,1.41,0.4708503039767714,0.10433115271707273,5.358728835386022,0.4066709428860378,0.5590828923669239,1559.0,1134,634.0
96,0,1,225,600,0.06,0.5186152456468374,0.0,3500881.8339064475,0.9999999997481108,0.35008818339064474,397.0,1134,397.0
97,1,0,275,1600,0.06,0.33770096775552993,0.18689375140777245,2.6753154059894046,0.25494604315400426,0.49999999995590827,2224.0,1134,567.0
98,1,1,251,1000,0.05,0.6406812503485086,0.10613579968298967,8.125750711434652,0.5096404377014258,0.86243386235781,1919.0,1134,978.0
99,0,0,151,600,0.1,0.37269646887699676,0.3601398601357981,2.426550241257472,0.23685468450676733,0.8738977071539772,4184.0,1134,991.0
